Date,Open,High,Low,Close,Adj Close,Volume
2017-03-17,660.400024,662.900024,659.200012,647.880005,647.880005,0
2017-03-20,661.599976,663.549988,645.929993,661.599976,661.599976,0
2017-03-21,659.599976,661.799988,655.969971,659.599976,659.599976,0
2017-03-22,658.500000,664.799988,658.500000,658.500000,658.500000,0
2017-03-23,661.099976,664.140015,658.099976,661.099976,661.099976,0
2017-03-24,662.500000,663.830017,647.000000,662.500000,662.500000,0
2017-03-27,660.099976,664.750000,658.700012,659.200012,659.200012,0
2017-03-28,647.320007,667.500000,647.320007,664.299988,664.299988,0
2017-03-29,654.169983,665.309998,654.169983,665.299988,665.299988,0
2017-03-30,654.429993,663.690002,654.429993,662.450012,662.450012,0
2017-03-31,651.960022,666.260010,649.979980,662.599976,662.599976,0
2017-04-03,650.809998,660.799988,646.780029,659.400024,659.400024,0
2017-04-04,645.830017,662.400024,645.830017,657.799988,657.799988,0
2017-04-05,642.469971,660.099976,642.469971,659.700012,659.700012,0
2017-04-06,647.030029,659.000000,647.030029,657.900024,657.900024,0
2017-04-07,647.590027,658.210022,647.590027,655.900024,655.900024,0
2017-04-10,657.200012,657.200012,643.309998,655.900024,655.900024,0
2017-04-11,651.799988,655.599976,648.900024,651.799988,651.799988,0
2017-04-12,639.140015,655.700012,639.140015,654.200012,654.200012,0
2017-04-13,637.299988,652.400024,637.299988,652.400024,652.400024,0
2017-04-14,639.710022,650.099976,639.710022,650.099976,650.099976,0
2017-04-17,640.049988,649.200012,639.159973,648.799988,648.799988,0
2017-04-18,638.039978,648.780029,637.650024,645.000000,645.000000,0
2017-04-19,648.299988,650.200012,648.200012,648.599976,648.599976,0
2017-04-20,647.599976,651.000000,647.599976,647.599976,647.599976,0
2017-04-21,637.530029,651.679993,637.530029,649.200012,649.200012,0
2017-04-24,652.799988,654.500000,626.599976,652.799988,652.799988,0
2017-04-25,640.030029,661.200012,638.650024,654.700012,654.700012,0
2017-04-26,639.489990,666.119995,639.489990,639.520020,639.520020,0
2017-04-27,648.239990,664.500000,648.239990,664.299988,664.299988,0
2017-04-28,651.549988,667.099976,651.549988,662.500000,662.500000,0
2017-05-01,652.539978,666.599976,652.539978,666.599976,666.599976,0
2017-05-02,652.359985,668.080017,652.359985,665.099976,665.099976,0
2017-05-03,651.719971,670.799988,651.719971,667.400024,667.400024,0
2017-05-04,655.830017,675.700012,655.830017,668.500000,668.500000,0
2017-05-05,655.210022,676.690002,655.210022,674.599976,674.599976,0
2017-05-08,661.820007,678.000000,661.820007,670.900024,670.900024,0
2017-05-09,659.950012,681.200012,659.950012,678.299988,678.299988,0
2017-05-10,679.099976,679.099976,671.299988,678.000000,678.000000,0
2017-05-11,666.299988,673.000000,666.299988,672.900024,672.900024,0
2017-05-12,660.500000,673.400024,660.500000,671.700012,671.700012,0
2017-05-15,655.530029,671.950012,655.530029,671.599976,671.599976,0
2017-05-16,667.900024,667.950012,664.599976,667.900024,667.900024,0
2017-05-17,653.280029,669.559998,653.280029,666.099976,666.099976,0
2017-05-18,651.909973,679.250000,651.909973,651.349976,651.349976,0
2017-05-19,659.940002,672.500000,659.940002,671.900024,671.900024,0
2017-05-22,657.530029,670.400024,657.530029,668.000000,668.000000,0
2017-05-23,655.080017,673.599976,655.080017,670.200012,670.200012,0
2017-05-24,661.799988,676.400024,661.799988,674.500000,674.500000,0
2017-05-25,660.130005,671.799988,659.780029,660.869995,660.869995,0
2017-05-26,660.030029,671.630005,660.030029,660.130005,660.130005,0
2017-05-29,659.289978,674.099976,659.289978,671.900024,671.900024,0
2017-05-30,663.130005,675.900024,662.359985,661.099976,661.099976,0
2017-05-31,660.989990,674.799988,660.989990,674.400024,674.400024,0
2017-06-01,660.960022,674.000000,660.960022,660.869995,660.869995,0
2017-06-02,661.440002,673.400024,661.440002,672.000000,672.000000,0
2017-06-05,656.570007,669.799988,656.570007,669.799988,669.799988,0
2017-06-06,656.940002,669.500000,656.940002,668.700012,668.700012,0
2017-06-07,655.539978,668.799988,655.539978,668.599976,668.599976,0
2017-06-08,654.020020,669.099976,654.020020,669.099976,669.099976,0
2017-06-09,658.679993,665.400024,658.679993,658.130005,658.130005,0
2017-06-12,651.559998,663.000000,650.640015,663.000000,663.000000,0
2017-06-13,652.140015,662.700012,649.280029,661.200012,661.200012,0
2017-06-14,661.000000,661.049988,657.500000,660.799988,660.799988,0
2017-06-15,660.200012,665.400024,660.200012,660.799988,660.799988,0
2017-06-16,649.750000,665.500000,649.750000,665.500000,665.500000,0
2017-06-19,651.989990,665.099976,651.989990,665.000000,665.000000,0
2017-06-20,656.619995,665.200012,649.309998,656.380005,656.380005,0
2017-06-21,650.090027,664.250000,650.090027,663.299988,663.299988,0
2017-06-22,664.900024,664.900024,662.799988,664.900024,664.900024,0
2017-06-23,653.789978,663.380005,653.789978,662.900024,662.900024,0
2017-06-26,649.340027,661.010010,649.340027,649.650024,649.650024,0
2017-06-27,648.530029,662.400024,648.460022,660.700012,660.700012,0
2017-06-28,644.409973,663.080017,644.409973,644.450012,644.450012,0
2017-06-29,650.000000,663.650024,650.000000,663.000000,663.000000,0
2017-06-30,649.380005,664.700012,649.380005,664.700012,664.700012,0
2017-07-03,651.690002,664.900024,651.690002,663.400024,663.400024,0
2017-07-04,662.000000,663.500000,661.500000,662.000000,662.000000,0
2017-07-05,661.799988,666.010010,661.799988,650.640015,650.640015,0
2017-07-06,649.830017,667.250000,649.830017,665.599976,665.599976,0
2017-07-07,662.500000,667.130005,653.229980,665.000000,665.000000,0
2017-07-10,653.679993,666.950012,653.679993,666.599976,666.599976,0
2017-07-11,null,null,null,null,null,null
2017-07-12,649.760010,665.900024,649.760010,666.099976,666.099976,0
2017-07-13,662.500000,663.179993,651.570007,662.500000,662.500000,0
2017-07-14,661.700012,661.700012,657.400024,661.700012,661.700012,0
2017-07-17,645.380005,657.200012,645.380005,657.099976,657.099976,0
2017-07-18,644.640015,659.799988,644.640015,659.799988,659.799988,0
2017-07-19,654.799988,655.299988,652.400024,654.799988,654.799988,0
2017-07-20,643.010010,654.700012,641.140015,653.099976,653.099976,0
2017-07-21,634.719971,652.679993,634.719971,652.000000,652.000000,0
2017-07-24,638.489990,651.799988,638.489990,650.799988,650.799988,0
2017-07-25,651.599976,651.599976,645.799988,651.599976,651.599976,0
2017-07-26,640.530029,650.200012,638.030029,649.599976,649.599976,0
2017-07-27,633.369995,649.400024,631.890015,643.700012,643.700012,0
2017-07-28,633.020020,651.400024,633.020020,649.000000,649.000000,0
2017-07-31,635.359985,653.880005,635.359985,653.200012,653.200012,0
